Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
FAGE_LAST_10_14,0.227,0.149,0.11,0.087,0.086
FAGE_LAST_15_20,0.314,0.21,0.145,0.099,0.097
FAGE_LAST_2_4,0.233,0.151,0.113,0.088,0.087
FAGE_LAST_5_9,0.16,0.087,0.056,0.037,0.036
G01,2.624,2.312,2.075,1.754,1.745
G02B,39.965,39.679,39.551,39.501,39.5
G02D,4.83,4.698,4.609,4.541,4.538
G03,3.684,3.449,3.308,3.207,3.204
G04,1.389,1.262,1.168,1.085,1.082
G06A,13.13,12.957,12.863,12.801,12.8
G07A,3.851,3.643,3.511,3.411,3.408
G08,4.918,4.76,4.66,4.582,4.58
G09A,2.517,2.331,2.202,2.065,2.061
G09C,1.203,1.031,0.894,0.74,0.734
G10,11.137,10.9,10.779,10.704,10.702
G11,11.047,10.807,10.695,10.627,10.625
G12,6.19,6.018,5.902,5.793,5.79
G13,16.066,15.761,15.608,15.522,15.52
G14,13.858,13.756,13.667,13.582,13.579
G16,0.266,0.2,0.15,0.093,0.091
G17A,0.597,0.466,0.325,0.183,0.178
G18A,3.535,3.159,2.88,2.439,2.424
G19B,0.553,0.406,0.236,0.129,0.125
G22,3.506,3.26,3.106,2.949,2.943
G23,1.087,1.045,1.017,0.993,0.993
HHS_HCC001,4.49,3.999,3.762,3.617,3.615
HHS_HCC002,14.897,14.669,14.536,14.439,14.437
HHS_HCC003,13.638,13.47,13.36,13.293,13.291
HHS_HCC004,11.963,11.85,11.768,11.643,11.642
HHS_HCC006,17.169,17.088,16.997,16.907,16.904
HHS_HCC008,33.749,33.464,33.322,33.262,33.261
HHS_HCC009,9.374,9.094,8.929,8.808,8.804
HHS_HCC010,7.293,7.065,6.911,6.777,6.772
HHS_HCC011,4.615,4.45,4.331,4.221,4.217
HHS_HCC012,4.615,4.45,4.331,4.221,4.217
HHS_HCC013,1.171,1.037,0.925,0.806,0.802
HHS_HCC018,11.106,11.02,10.974,10.939,10.937
HHS_HCC019,0,0,0,0,0
HHS_HCC020,0,0,0,0,0
HHS_HCC021,0,0,0,0,0
HHS_HCC023,19.295,19.163,19.078,19.037,19.035
HHS_HCC026,0,0,0,0,0
HHS_HCC027,0,0,0,0,0
HHS_HCC028,0,0,0,0,0
HHS_HCC029,0,0,0,0,0
HHS_HCC030,5.553,5.285,5.146,5.079,5.078
HHS_HCC034,11.106,11.02,10.974,10.939,10.937
HHS_HCC035_1,9.767,9.619,9.551,9.525,9.524
HHS_HCC035_2,9.286,9.131,9.047,8.983,8.98
HHS_HCC036,4.128,3.99,3.907,3.848,3.849
HHS_HCC037_1,1.186,1.046,0.961,0.917,0.917
HHS_HCC037_2,0.197,0.169,0.142,0.111,0.11
HHS_HCC041,13.858,13.756,13.667,13.582,13.579
HHS_HCC042,17.886,17.459,17.325,17.276,17.275
HHS_HCC045,4.767,4.582,4.446,4.332,4.329
HHS_HCC046,11.778,11.601,11.522,11.476,11.476
HHS_HCC047,5.36,5.102,4.953,4.826,4.823
HHS_HCC048,9.915,9.478,9.266,9.139,9.135
HHS_HCC054,0,0,0,0,0
HHS_HCC055,0,0,0,0,0
HHS_HCC056,4.733,4.456,4.296,4.195,4.192
HHS_HCC057,0.746,0.619,0.5,0.376,0.372
HHS_HCC061,0,0,0,0,0
HHS_HCC062,0,0,0,0,0
HHS_HCC063,1.174,1.006,0.881,0.756,0.752
HHS_HCC066,67.994,67.478,67.248,67.166,67.164
HHS_HCC067,0,0,0,0,0
HHS_HCC068,0,0,0,0,0
HHS_HCC069,0,0,0,0,0
HHS_HCC070,0,0,0,0,0
HHS_HCC071,0,0,0,0,0
HHS_HCC073,0,0,0,0,0
HHS_HCC074,0,0,0,0,0
HHS_HCC075,4.218,4.082,3.982,3.897,3.894
HHS_HCC081,0,0,0,0,0
HHS_HCC082,0,0,0,0,0
HHS_HCC083,0,0,0,0,0
HHS_HCC084,0,0,0,0,0
HHS_HCC087_1,3.991,3.694,3.511,3.35,3.346
HHS_HCC087_2,3.395,3.122,2.941,2.76,2.755
HHS_HCC088,2.638,2.413,2.243,2.082,2.077
HHS_HCC090,0.378,0.27,0.155,0.042,0.038
HHS_HCC094,2.453,2.277,2.147,2.034,2.03
HHS_HCC096,11.637,11.535,11.45,11.378,11.376
HHS_HCC097,0.982,0.842,0.742,0.642,0.638
HHS_HCC102,2.638,2.413,2.243,2.082,2.077
HHS_HCC103,0.404,0.314,0.222,0.146,0.144
HHS_HCC106,0,0,0,0,0
HHS_HCC107,0,0,0,0,0
HHS_HCC108,0,0,0,0,0
HHS_HCC109,0,0,0,0,0
HHS_HCC110,4.782,4.56,4.404,4.246,4.24
HHS_HCC111,50.056,49.78,49.63,49.543,49.54
HHS_HCC112,0.913,0.651,0.525,0.44,0.439
HHS_HCC113,0.274,0.128,0.061,0.017,0.015
HHS_HCC114,1.77,1.63,1.533,1.437,1.434
HHS_HCC115,11.126,10.941,10.858,10.829,10.829
HHS_HCC117,0,0,0,0,0
HHS_HCC118,9.87,9.439,9.256,9.199,9.2
HHS_HCC119,0,0,0,0,0
HHS_HCC120,1.667,1.509,1.368,1.223,1.218
HHS_HCC121,11.086,11.068,11.036,11.016,11.015
HHS_HCC122,10.655,10.694,10.708,10.737,10.737
HHS_HCC123,4.295,4.102,3.955,3.821,3.816
HHS_HCC125,27.17,26.905,26.769,26.706,26.705
HHS_HCC126,0,0,0,0,0
HHS_HCC127,0,0,0,0,0
HHS_HCC128,0,0,0,0,0
HHS_HCC129,0,0,0,0,0
HHS_HCC130,4.738,4.612,4.524,4.454,4.452
HHS_HCC131,0,0,0,0,0
HHS_HCC132,0,0,0,0,0
HHS_HCC135,16.465,16.33,16.226,16.134,16.13
HHS_HCC137,4.201,4.021,3.874,3.748,3.744
HHS_HCC138,1.119,1.001,0.878,0.777,0.774
HHS_HCC139,0.691,0.583,0.488,0.415,0.413
HHS_HCC142,3.278,3.106,2.985,2.886,2.883
HHS_HCC145,12.842,12.667,12.542,12.44,12.435
HHS_HCC146,1.68,1.505,1.397,1.293,1.29
HHS_HCC149,1.745,1.547,1.416,1.288,1.283
HHS_HCC150,5.876,5.734,5.649,5.574,5.571
HHS_HCC151,3.202,3.05,2.948,2.842,2.838
HHS_HCC153,10.987,10.723,10.584,10.49,10.488
HHS_HCC154,7.36,7.213,7.13,7.077,7.077
HHS_HCC156,19.94,19.772,19.662,19.581,19.579
HHS_HCC158,13.858,13.756,13.667,13.582,13.579
HHS_HCC159,46.375,45.821,45.593,45.555,45.556
HHS_HCC160,1.807,1.629,1.497,1.375,1.372
HHS_HCC161_1,1.269,1.08,0.919,0.762,0.757
HHS_HCC161_2,0.347,0.258,0.172,0.104,0.102
HHS_HCC162,1.474,1.31,1.17,1.039,1.035
HHS_HCC163,10.655,10.694,10.708,10.737,10.737
HHS_HCC183,11.106,11.02,10.974,10.939,10.937
HHS_HCC184,37.125,36.898,36.806,36.786,36.783
HHS_HCC187,0,0,0,0,0
HHS_HCC188,0,0,0,0,0
HHS_HCC203,1.605,1.396,1.203,1.035,1.028
HHS_HCC204,0,0,0,0,0
HHS_HCC205,0,0,0,0,0
HHS_HCC207,0,0,0,0,0
HHS_HCC208,0,0,0,0,0
HHS_HCC209,2.619,2.338,2.064,1.572,1.553
HHS_HCC210,0,0,0,0,0
HHS_HCC211,0,0,0,0,0
HHS_HCC212,0.365,0.249,0.135,0.06,0.057
HHS_HCC217,2.144,2.023,1.933,1.863,1.861
HHS_HCC218,22.431,22.185,22.041,21.957,21.952
HHS_HCC219,2.195,2.007,1.877,1.757,1.753
HHS_HCC223,22.431,22.185,22.041,21.957,21.952
HHS_HCC226,4.771,4.51,4.344,4.242,4.239
HHS_HCC228,4.693,4.459,4.289,4.124,4.119
HHS_HCC234,0,0,0,0,0
HHS_HCC251,13.858,13.756,13.667,13.582,13.579
HHS_HCC253,6.435,6.241,6.156,6.11,6.11
HHS_HCC254,0,0,0,0,0
MAGE_LAST_10_14,0.236,0.156,0.115,0.092,0.091
MAGE_LAST_15_20,0.271,0.186,0.135,0.101,0.1
MAGE_LAST_2_4,0.288,0.195,0.146,0.109,0.108
MAGE_LAST_5_9,0.213,0.132,0.093,0.069,0.068
SEVERE_1_HCC,-10.655,-10.694,-10.708,-10.737,-10.737
SEVERE_10_HCC,-0.619,-0.297,0.075,0.521,22.529
SEVERE_2_HCC,-10.57,-10.647,-10.68,-10.723,-10.724
SEVERE_3_HCC,-8.365,-8.447,-8.418,-8.359,-8.355
SEVERE_4_HCC,-7.724,-7.718,-7.59,-7.404,-7.396
SEVERE_5_HCC,-4.948,-4.829,-4.6,-4.291,-4.279
SEVERE_6_HCC,-0.619,-0.297,0.075,0.521,0.537
SEVERE_7_HCC,-0.619,-0.297,0.075,0.521,0.537
SEVERE_8_HCC,-0.619,-0.297,0.075,0.521,22.529
SEVERE_9_HCC,-0.619,-0.297,0.075,0.521,22.529
TRANSPLANT_4_HCC,16.793,16.848,16.877,16.897,16.899
TRANSPLANT_5_HCC,16.793,16.848,16.877,16.897,16.899
TRANSPLANT_6_HCC,16.793,16.848,16.877,16.897,16.899
TRANSPLANT_7_HCC,16.793,16.848,16.877,16.897,16.899
TRANSPLANT_8_HCC,16.793,16.848,16.877,16.897,16.899
