Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
ACF_01,1.304,1.263,1.214,1.161,1.6
FAGE_LAST_10_14,0.221,0.155,0.115,0.091,0.088
FAGE_LAST_15_20,0.286,0.2,0.136,0.09,0.081
FAGE_LAST_2_4,0.222,0.152,0.112,0.087,0.081
FAGE_LAST_5_9,0.153,0.09,0.058,0.04,0.036
G01,2.221,1.995,1.784,1.48,1.431
G02B,30.871,30.641,30.596,30.496,30.493
G02D,4.743,4.634,4.577,4.5,4.489
G03,4.288,4.095,4.002,3.869,3.852
G04,1.213,1.112,1.041,0.953,0.939
G06A,12.776,12.62,12.565,12.477,12.468
G07A,3.334,3.185,3.102,2.992,2.974
G08,5.418,5.282,5.226,5.136,5.125
G09A,2.337,2.195,2.104,1.972,1.949
G09C,0.778,0.65,0.545,0.397,0.373
G10,10.809,10.632,10.574,10.475,10.467
G11,9.868,9.65,9.591,9.476,9.466
G12,5.69,5.547,5.476,5.366,5.349
G13,15.588,15.336,15.257,15.114,15.103
G14,14.935,14.859,14.793,14.709,14.693
G16,0.853,0.779,0.729,0.672,0.665
G17A,0.389,0.294,0.158,0.035,0.011
G18A,3.064,2.797,2.554,2.151,2.065
G19B,0.42,0.308,0.145,0.014,0
G22,4.308,4.125,4.026,3.865,3.835
G23,1.293,1.229,1.179,1.104,1.091
HHS_HCC001,4.432,4.02,3.933,3.744,3.737
HHS_HCC002,15.159,14.969,14.894,14.777,14.766
HHS_HCC003,14.258,14.125,14.065,13.983,13.972
HHS_HCC004,13.861,13.735,13.667,13.575,13.559
HHS_HCC006,19.55,19.503,19.43,19.35,19.333
HHS_HCC008,31.112,30.879,30.817,30.711,30.704
HHS_HCC009,9.342,9.119,9.022,8.874,8.855
HHS_HCC010,8.439,8.247,8.142,7.988,7.963
HHS_HCC011,4.086,3.946,3.864,3.74,3.716
HHS_HCC012,4.086,3.946,3.864,3.74,3.716
HHS_HCC013,1.309,1.199,1.105,0.987,0.963
HHS_HCC018,12.114,12.103,12.087,12.074,12.069
HHS_HCC019,2.221,1.995,1.784,1.48,1.431
HHS_HCC020,2.221,1.995,1.784,1.48,1.431
HHS_HCC021,2.221,1.995,1.784,1.48,1.431
HHS_HCC023,19.116,19,18.96,18.905,18.898
HHS_HCC026,30.871,30.641,30.596,30.496,30.493
HHS_HCC027,30.871,30.641,30.596,30.496,30.493
HHS_HCC028,4.743,4.634,4.577,4.5,4.489
HHS_HCC029,4.743,4.634,4.577,4.5,4.489
HHS_HCC030,5.04,4.82,4.751,4.645,4.637
HHS_HCC034,12.114,12.103,12.087,12.074,12.069
HHS_HCC035_1,9.374,9.241,9.203,9.132,9.121
HHS_HCC035_2,7.833,7.686,7.638,7.549,7.536
HHS_HCC036,3.898,3.779,3.716,3.629,3.614
HHS_HCC037_1,1.186,1.081,1.008,0.923,0.907
HHS_HCC037_2,0.473,0.401,0.326,0.239,0.218
HHS_HCC041,14.935,14.859,14.793,14.709,14.693
HHS_HCC042,18.316,18.056,18.004,17.906,17.903
HHS_HCC045,4.523,4.352,4.262,4.128,4.109
HHS_HCC046,8.313,8.165,8.114,8.016,8.002
HHS_HCC047,6.026,5.805,5.717,5.565,5.546
HHS_HCC048,10.352,9.97,9.879,9.69,9.676
HHS_HCC054,4.288,4.095,4.002,3.869,3.852
HHS_HCC055,4.288,4.095,4.002,3.869,3.852
HHS_HCC056,4.773,4.527,4.447,4.318,4.307
HHS_HCC057,0.975,0.876,0.784,0.672,0.65
HHS_HCC061,1.213,1.112,1.041,0.953,0.939
HHS_HCC062,1.213,1.112,1.041,0.953,0.939
HHS_HCC063,0.884,0.761,0.665,0.541,0.519
HHS_HCC066,62.038,61.611,61.536,61.361,61.352
HHS_HCC067,12.776,12.62,12.565,12.477,12.468
HHS_HCC068,12.776,12.62,12.565,12.477,12.468
HHS_HCC069,12.776,12.62,12.565,12.477,12.468
HHS_HCC070,3.334,3.185,3.102,2.992,2.974
HHS_HCC071,3.334,3.185,3.102,2.992,2.974
HHS_HCC073,5.418,5.282,5.226,5.136,5.125
HHS_HCC074,5.418,5.282,5.226,5.136,5.125
HHS_HCC075,3.928,3.824,3.756,3.667,3.652
HHS_HCC081,2.337,2.195,2.104,1.972,1.949
HHS_HCC082,2.337,2.195,2.104,1.972,1.949
HHS_HCC083,0.778,0.65,0.545,0.397,0.373
HHS_HCC084,0.778,0.65,0.545,0.397,0.373
HHS_HCC087_1,3.54,3.296,3.177,2.995,2.97
HHS_HCC087_2,3.132,2.909,2.778,2.582,2.553
HHS_HCC088,2.588,2.398,2.271,2.101,2.073
HHS_HCC090,0.458,0.375,0.273,0.158,0.133
HHS_HCC094,2.173,2.039,1.948,1.821,1.798
HHS_HCC096,12.591,12.534,12.493,12.442,12.431
HHS_HCC097,0.87,0.763,0.692,0.59,0.572
HHS_HCC102,2.588,2.398,2.271,2.101,2.073
HHS_HCC103,0.484,0.414,0.333,0.251,0.234
HHS_HCC106,10.809,10.632,10.574,10.475,10.467
HHS_HCC107,10.809,10.632,10.574,10.475,10.467
HHS_HCC108,9.868,9.65,9.591,9.476,9.466
HHS_HCC109,9.868,9.65,9.591,9.476,9.466
HHS_HCC110,4.587,4.409,4.306,4.146,4.118
HHS_HCC111,45.49,45.226,45.175,45.069,45.058
HHS_HCC112,0.831,0.651,0.579,0.461,0.449
HHS_HCC113,0.381,0.266,0.204,0.124,0.109
HHS_HCC114,1.523,1.414,1.35,1.252,1.237
HHS_HCC115,10.844,10.706,10.684,10.631,10.63
HHS_HCC117,5.69,5.547,5.476,5.366,5.349
HHS_HCC118,7.657,7.323,7.253,7.109,7.103
HHS_HCC119,5.69,5.547,5.476,5.366,5.349
HHS_HCC120,1.475,1.352,1.242,1.102,1.074
HHS_HCC121,12.442,12.383,12.338,12.292,12.28
HHS_HCC122,11.881,11.883,11.873,11.873,11.87
HHS_HCC123,4.158,4.015,3.919,3.783,3.752
HHS_HCC125,25.819,25.59,25.527,25.42,25.412
HHS_HCC126,15.588,15.336,15.257,15.114,15.103
HHS_HCC127,15.588,15.336,15.257,15.114,15.103
HHS_HCC128,14.935,14.859,14.793,14.709,14.693
HHS_HCC129,14.935,14.859,14.793,14.709,14.693
HHS_HCC130,3.788,3.69,3.638,3.557,3.542
HHS_HCC131,1.293,1.229,1.179,1.104,1.091
HHS_HCC132,1.293,1.229,1.179,1.104,1.091
HHS_HCC135,15.964,15.86,15.788,15.694,15.675
HHS_HCC137,3.733,3.594,3.485,3.351,3.326
HHS_HCC138,0.957,0.868,0.769,0.67,0.651
HHS_HCC139,0.487,0.406,0.327,0.251,0.238
HHS_HCC142,3.007,2.866,2.784,2.671,2.654
HHS_HCC145,12.917,12.857,12.829,12.79,12.784
HHS_HCC146,1.196,1.087,1.028,0.938,0.926
HHS_HCC149,0.788,0.69,0.638,0.553,0.537
HHS_HCC150,5.113,4.995,4.936,4.846,4.836
HHS_HCC151,2.053,1.94,1.874,1.773,1.757
HHS_HCC153,10.494,10.279,10.205,10.071,10.061
HHS_HCC154,10.563,10.421,10.369,10.279,10.271
HHS_HCC156,20.314,20.192,20.129,20.039,20.025
HHS_HCC158,14.935,14.859,14.793,14.709,14.693
HHS_HCC159,51.368,50.854,50.808,50.658,50.665
HHS_HCC160,1.574,1.429,1.324,1.188,1.165
HHS_HCC161_1,1.3,1.15,1.025,0.871,0.843
HHS_HCC161_2,0.315,0.248,0.171,0.105,0.091
HHS_HCC162,1.467,1.341,1.229,1.097,1.072
HHS_HCC163,11.748,11.771,11.801,11.852,11.859
HHS_HCC183,12.114,12.103,12.087,12.074,12.069
HHS_HCC184,25.623,25.42,25.403,25.337,25.332
HHS_HCC187,0.853,0.779,0.729,0.672,0.665
HHS_HCC188,0.853,0.779,0.729,0.672,0.665
HHS_HCC203,0.755,0.625,0.472,0.33,0.308
HHS_HCC204,0.389,0.294,0.158,0.035,0.011
HHS_HCC205,0.389,0.294,0.158,0.035,0.011
HHS_HCC207,3.064,2.797,2.554,2.151,2.065
HHS_HCC208,3.064,2.797,2.554,2.151,2.065
HHS_HCC209,2.183,1.985,1.734,1.324,1.218
HHS_HCC210,0.42,0.308,0.145,0.014,0
HHS_HCC211,0.42,0.308,0.145,0.014,0
HHS_HCC212,0.21,0.128,0.027,0,0
HHS_HCC217,2.287,2.195,2.121,2.041,2.027
HHS_HCC218,22.632,22.402,22.326,22.204,22.186
HHS_HCC219,2.587,2.43,2.328,2.189,2.168
HHS_HCC223,22.632,22.402,22.326,22.204,22.186
HHS_HCC226,4.602,4.393,4.289,4.153,4.136
HHS_HCC228,4.311,4.117,4,3.829,3.802
HHS_HCC234,4.308,4.125,4.026,3.865,3.835
HHS_HCC251,14.935,14.859,14.793,14.709,14.693
HHS_HCC253,5.156,4.991,4.958,4.879,4.875
HHS_HCC254,4.308,4.125,4.026,3.865,3.835
