Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
ED_1,9.348,7.984,6.959,6.027,5.995
ED_10,0,0,0,0,0
ED_11,0,0,0,0,0
ED_2,4.521,3.808,3.265,2.807,2.792
ED_3,2.949,2.471,2.098,1.796,1.787
ED_4,1.837,1.504,1.234,1.017,1.01
ED_5,1.348,1.1,0.893,0.722,0.717
ED_6,0.952,0.767,0.607,0.471,0.466
ED_7,0,0,0,0,0
ED_8,0,0,0,0,0
ED_9,0,0,0,0,0
FAGE_LAST_21_24,0.256,0.182,0.121,0.074,0.072
FAGE_LAST_25_29,0.281,0.201,0.135,0.083,0.081
FAGE_LAST_30_34,0.352,0.263,0.189,0.13,0.128
FAGE_LAST_35_39,0.42,0.323,0.243,0.179,0.177
FAGE_LAST_40_44,0.474,0.369,0.281,0.21,0.207
FAGE_LAST_45_49,0.481,0.372,0.279,0.2,0.198
FAGE_LAST_50_54,0.529,0.418,0.321,0.239,0.236
FAGE_LAST_55_59,0.503,0.391,0.293,0.211,0.209
FAGE_LAST_60_GT,0.517,0.402,0.301,0.216,0.213
G01,0.305,0.253,0.205,0.162,0.16
G02B,27.297,27.064,27,26.985,26.986
G04,2.312,2.156,2.064,1.988,1.985
G06A,12.233,12.099,12.047,12.013,12.01
G07A,2.351,2.242,2.164,2.096,2.093
G08,4.086,3.968,3.911,3.865,3.863
G09A,1.993,1.829,1.698,1.561,1.556
G09C,1.005,0.876,0.779,0.689,0.687
G10,9.171,8.978,8.882,8.814,8.812
G11,6.793,6.624,6.538,6.469,6.467
G12,1.64,1.528,1.435,1.339,1.335
G13,8.426,8.201,8.093,8.029,8.027
G14,18.901,18.73,18.647,18.621,18.624
G15A,0.703,0.613,0.523,0.431,0.428
G16,0.761,0.675,0.651,0.635,0.633
G17A,0.748,0.65,0.509,0.325,0.317
G18A,3.882,3.578,3.308,3.023,3.017
G21,2.292,2.187,2.109,2.043,2.041
HHS_HCC001,0.829,0.716,0.653,0.616,0.615
HHS_HCC002,8.98,8.746,8.638,8.584,8.583
HHS_HCC003,8.324,8.186,8.104,8.035,8.032
HHS_HCC004,8.298,8.153,8.058,7.974,7.971
HHS_HCC006,7.834,7.759,7.677,7.583,7.579
HHS_HCC008,23.677,23.226,23.131,23.14,23.141
HHS_HCC009,14.216,13.902,13.805,13.768,13.767
HHS_HCC010,5.954,5.752,5.654,5.582,5.58
HHS_HCC011,3.67,3.467,3.358,3.273,3.27
HHS_HCC012,2.483,2.332,2.238,2.161,2.159
HHS_HCC013,1.038,0.931,0.823,0.718,0.714
HHS_HCC018,5.932,5.949,5.984,6.02,6.021
HHS_HCC019,0,0,0,0,0
HHS_HCC020,0,0,0,0,0
HHS_HCC021,0,0,0,0,0
HHS_HCC022,0.33,0.3,0.259,0.2,0.198
HHS_HCC023,10.838,10.695,10.619,10.566,10.564
HHS_HCC026,0,0,0,0,0
HHS_HCC027,0,0,0,0,0
HHS_HCC029,7.481,7.364,7.303,7.253,7.252
HHS_HCC030,1.453,1.36,1.287,1.216,1.214
HHS_HCC034,6.091,6.067,5.984,6.02,6.021
HHS_HCC035_1,7.212,7.015,6.944,6.918,6.917
HHS_HCC035_2,2.688,2.502,2.429,2.389,2.388
HHS_HCC036,0.831,0.732,0.665,0.6,0.598
HHS_HCC037_1,0.636,0.556,0.49,0.434,0.432
HHS_HCC037_2,0.636,0.556,0.49,0.434,0.432
HHS_HCC041,19.388,19.268,19.2,19.15,19.147
HHS_HCC042,11.001,10.715,10.646,10.623,10.623
HHS_HCC045,4.958,4.766,4.662,4.603,4.602
HHS_HCC046,2.865,2.677,2.605,2.583,2.583
HHS_HCC047,2.67,2.465,2.36,2.281,2.28
HHS_HCC048,0.56,0.478,0.307,0.202,0.198
HHS_HCC054,9.17,8.984,8.936,8.926,8.925
HHS_HCC055,4.709,4.508,4.448,4.436,4.436
HHS_HCC056,1.186,1.082,0.996,0.918,0.915
HHS_HCC057,0.539,0.453,0.355,0.247,0.244
HHS_HCC061,0,0,0,0,0
HHS_HCC062,0,0,0,0,0
HHS_HCC063,1.762,1.636,1.552,1.483,1.482
HHS_HCC066,71.881,71.567,71.487,71.48,71.48
HHS_HCC067,0,0,0,0,0
HHS_HCC068,0,0,0,0,0
HHS_HCC069,0,0,0,0,0
HHS_HCC070,0,0,0,0,0
HHS_HCC071,0,0,0,0,0
HHS_HCC073,0,0,0,0,0
HHS_HCC074,0,0,0,0,0
HHS_HCC075,2.135,2.044,1.979,1.921,1.919
HHS_HCC081,0,0,0,0,0
HHS_HCC082,0,0,0,0,0
HHS_HCC083,0,0,0,0,0
HHS_HCC084,0,0,0,0,0
HHS_HCC087_1,2.365,2.179,2.064,1.971,1.969
HHS_HCC087_2,2.365,2.179,2.064,1.971,1.969
HHS_HCC088,1.161,1.043,0.937,0.832,0.828
HHS_HCC090,0.847,0.753,0.647,0.536,0.532
HHS_HCC094,2.271,2.138,2.05,1.971,1.968
HHS_HCC096,8.408,8.344,8.287,8.227,8.224
HHS_HCC097,1.278,1.2,1.133,1.071,1.069
HHS_HCC102,1.034,0.939,0.838,0.739,0.735
HHS_HCC103,0.847,0.753,0.647,0.536,0.532
HHS_HCC106,0,0,0,0,0
HHS_HCC107,0,0,0,0,0
HHS_HCC108,0,0,0,0,0
HHS_HCC109,0,0,0,0,0
HHS_HCC110,5.08,4.868,4.778,4.718,4.716
HHS_HCC111,4.804,4.625,4.519,4.424,4.421
HHS_HCC112,1.332,1.15,1.043,0.95,0.947
HHS_HCC113,0.655,0.574,0.497,0.419,0.417
HHS_HCC114,1.381,1.278,1.199,1.12,1.118
HHS_HCC115,5.14,5.033,4.993,4.969,4.968
HHS_HCC117,1.64,1.528,1.435,1.339,1.335
HHS_HCC118,1.963,1.829,1.741,1.659,1.656
HHS_HCC119,1.64,1.528,1.435,1.339,1.335
HHS_HCC120,1.173,1.061,0.974,0.892,0.889
HHS_HCC121,9.778,9.651,9.573,9.507,9.505
HHS_HCC122,10.04,9.859,9.762,9.685,9.682
HHS_HCC123,5.71,5.551,5.451,5.363,5.36
HHS_HCC125,19.636,19.402,19.298,19.235,19.234
HHS_HCC126,0,0,0,0,0
HHS_HCC127,0,0,0,0,0
HHS_HCC128,0,0,0,0,0
HHS_HCC129,0,0,0,0,0
HHS_HCC130,2.157,2.053,1.998,1.956,1.955
HHS_HCC131,5.536,5.258,5.186,5.188,5.19
HHS_HCC132,4.287,4.035,3.942,3.901,3.901
HHS_HCC135,8.954,8.833,8.741,8.652,8.649
HHS_HCC137,0,0,0,0,0
HHS_HCC138,0,0,0,0,0
HHS_HCC139,0,0,0,0,0
HHS_HCC142,1.98,1.86,1.772,1.686,1.688
HHS_HCC145,10.523,10.326,10.234,10.173,10.171
HHS_HCC146,1.432,1.306,1.241,1.195,1.194
HHS_HCC149,2.34,2.2,2.114,2.037,2.035
HHS_HCC150,3.422,3.28,3.238,3.23,3.231
HHS_HCC151,2.54,2.419,2.349,2.287,2.285
HHS_HCC153,7.708,7.537,7.515,7.546,7.547
HHS_HCC154,5.409,5.242,5.172,5.129,5.128
HHS_HCC156,7.584,7.47,7.369,7.258,7.253
HHS_HCC158,11.151,10.965,10.891,10.876,10.874
HHS_HCC159,5.579,5.369,5.265,5.195,5.193
HHS_HCC160,0,0,0,0,0
HHS_HCC161_1,0,0,0,0,0
HHS_HCC161_2,0,0,0,0,0
HHS_HCC162,1.765,1.656,1.581,1.51,1.507
HHS_HCC163,5.932,5.949,5.984,6.02,6.021
HHS_HCC174,1.365,1.229,1.113,1.003,1
HHS_HCC183,6.045,5.98,5.984,6.02,6.021
HHS_HCC184,20.979,20.542,20.529,20.537,20.54
HHS_HCC187,0,0,0,0,0
HHS_HCC188,0,0,0,0,0
HHS_HCC203,2.029,1.826,1.63,1.415,1.409
HHS_HCC204,0,0,0,0,0
HHS_HCC205,0,0,0,0,0
HHS_HCC207,0,0,0,0,0
HHS_HCC208,0,0,0,0,0
HHS_HCC209,2.752,2.534,2.266,1.892,1.881
HHS_HCC210,0.997,0.868,0.695,0.496,0.489
HHS_HCC211,0.653,0.555,0.412,0.264,0.259
HHS_HCC212,0.085,0.039,0,0,0
HHS_HCC217,1.619,1.508,1.452,1.413,1.412
HHS_HCC218,22.367,22.109,22.009,21.957,21.955
HHS_HCC219,2.792,2.658,2.577,2.515,2.513
HHS_HCC223,17.057,16.879,16.774,16.689,16.686
HHS_HCC226,8.033,7.753,7.679,7.672,7.672
HHS_HCC228,4.501,4.312,4.206,4.117,4.115
HHS_HCC234,5.039,4.853,4.792,4.777,4.777
HHS_HCC251,21.119,21.111,21.064,21.027,21.026
HHS_HCC253,5.948,5.817,5.773,5.756,5.756
HHS_HCC254,1.474,1.347,1.284,1.244,1.244
INT_GROUP_H,6.236,6.388,6.514,6.663,6.667
MAGE_LAST_21_24,0.167,0.117,0.077,0.048,0.047
MAGE_LAST_25_29,0.17,0.119,0.078,0.048,0.047
MAGE_LAST_30_34,0.202,0.144,0.098,0.062,0.061
MAGE_LAST_35_39,0.225,0.161,0.108,0.066,0.065
MAGE_LAST_40_44,0.263,0.193,0.134,0.087,0.085
MAGE_LAST_45_49,0.292,0.216,0.152,0.1,0.098
MAGE_LAST_50_54,0.377,0.292,0.221,0.162,0.16
MAGE_LAST_55_59,0.429,0.335,0.257,0.192,0.19
MAGE_LAST_60_GT,0.487,0.384,0.297,0.225,0.223
RXC_01,8.08,7.445,7.089,6.763,6.756
RXC_01_x_HCC001,2.996,3.107,3.389,3.774,3.785
RXC_02,7.337,6.835,6.703,6.727,6.731
RXC_02_x_HCC037_1_036_035_2_035_1_034,-0.636,-0.556,-0.49,-0.419,-0.417
RXC_03,0.103,0.094,0.086,0.063,0.039
RXC_03_x_HCC142,0,0,0,0,0
RXC_04,1.49,1.607,1.567,1.642,1.63
RXC_04_x_HCC184_183_187_188,0,0,0,0,0
RXC_05,1.7,1.574,1.367,1.157,1.149
RXC_05_x_HCC048_041,-0.529,-0.478,-0.307,-0.202,-0.198
RXC_06,1.537,1.34,1.141,0.952,0.945
RXC_06_x_HCC018_019_020_021,0.396,0.447,0.524,0.571,0.574
RXC_07,0.812,0.706,0.582,0.432,0.427
RXC_07_x_HCC018_019_020_021,-0.305,-0.253,-0.205,-0.162,-0.16
RXC_08,22.766,21.76,21.387,21.195,21.194
RXC_08_x_HCC118,0.324,0.804,1.157,1.49,1.497
RXC_09,16.493,15.865,15.676,15.713,15.715
RXC_09_x_HCC048_041,0.529,0.598,1.021,1.122,1.125
RXC_09_x_HCC056,-1.186,-1.082,-0.996,-0.918,-0.915
RXC_09_x_HCC056_057_and_048_041,0.898,0.993,0.857,0.92,0.922
RXC_09_x_HCC057,-0.539,-0.453,-0.355,-0.247,-0.244
RXC_10,16.685,16.283,16.191,16.197,16.2
RXC_10_x_HCC159_158,48.995,49.045,49.149,49.264,49.267
SEVERE_1_HCC,-5.932,-5.949,-5.984,-6.02,-6.021
SEVERE_10_HCC,7.926,8.961,9.734,10.435,10.457
SEVERE_2_HCC,-5.403,-5.47,-5.504,-5.531,-5.531
SEVERE_3_HCC,-4.343,-4.388,-4.335,-4.244,-4.24
SEVERE_4_HCC,-3.631,-3.615,-3.46,-3.243,-3.234
SEVERE_5_HCC,-2.997,-2.89,-2.64,-2.326,-2.314
SEVERE_6_HCC,-2.707,-2.501,-2.162,-1.768,-1.754
SEVERE_7_HCC,-2.013,-1.634,-1.189,-0.714,-0.698
SEVERE_8_HCC,-1.879,-1.457,-0.988,-0.496,-0.479
SEVERE_9_HCC,-0.126,0.494,1.07,1.639,1.657
TRANSPLANT_4_HCC,4.203,4.122,4.061,3.946,3.942
TRANSPLANT_5_HCC,7.562,7.47,7.421,7.321,7.317
TRANSPLANT_6_HCC,13.706,13.624,13.586,13.503,13.499
TRANSPLANT_7_HCC,18.666,18.561,18.522,18.439,18.435
TRANSPLANT_8_HCC,33.829,33.853,33.886,33.855,33.852
