Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
FAGE_LAST_10_14,0.211,0.151,0.112,0.086,0.086
FAGE_LAST_15_20,0.295,0.215,0.15,0.102,0.101
FAGE_LAST_2_4,0.21,0.147,0.107,0.08,0.079
FAGE_LAST_5_9,0.142,0.087,0.055,0.034,0.033
G01,2.582,2.32,2.054,1.777,1.771
G02B,38.265,37.987,37.895,37.857,37.856
G02D,5.543,5.422,5.343,5.278,5.276
G03,3.304,3.091,2.97,2.884,2.882
G04,1.169,1.054,0.966,0.888,0.885
G06A,12.14,11.969,11.883,11.825,11.823
G07A,4.829,4.619,4.494,4.397,4.394
G08,4.861,4.707,4.618,4.546,4.544
G09A,2.384,2.215,2.087,1.965,1.962
G09C,0.91,0.76,0.622,0.527,0.524
G10,9.418,9.174,9.066,9.004,9.003
G11,8.841,8.595,8.497,8.441,8.44
G12,5.811,5.647,5.539,5.44,5.437
G13,15.409,15.142,15.014,14.936,14.935
G14,13.63,13.519,13.424,13.326,13.321
G16,0.992,0.898,0.814,0.728,0.724
G17A,0.697,0.574,0.403,0.202,0.194
G18A,3.397,3.083,2.773,2.395,2.383
G19B,0.603,0.472,0.306,0.136,0.131
G22,3.982,3.758,3.604,3.454,3.449
G23,0.514,0.454,0.421,0.401,0.401
HHS_HCC001,6.079,5.588,5.395,5.284,5.282
HHS_HCC002,14.363,14.145,14.018,13.928,13.927
HHS_HCC003,13.069,12.896,12.804,12.743,12.741
HHS_HCC004,10.692,10.648,10.612,10.582,10.581
HHS_HCC006,16.437,16.372,16.29,16.199,16.196
HHS_HCC008,30.906,30.616,30.514,30.467,30.467
HHS_HCC009,8.469,8.204,8.06,7.951,7.948
HHS_HCC010,7.068,6.837,6.698,6.583,6.58
HHS_HCC011,4.676,4.522,4.409,4.305,4.301
HHS_HCC012,4.676,4.522,4.409,4.305,4.301
HHS_HCC013,0.886,0.771,0.663,0.557,0.554
HHS_HCC018,11.147,10.995,10.948,10.906,10.905
HHS_HCC019,0,0,0,0,0
HHS_HCC020,0,0,0,0,0
HHS_HCC021,0,0,0,0,0
HHS_HCC023,18.256,18.124,18.055,18.009,18.007
HHS_HCC026,0,0,0,0,0
HHS_HCC027,0,0,0,0,0
HHS_HCC028,0,0,0,0,0
HHS_HCC029,0,0,0,0,0
HHS_HCC030,6.756,6.49,6.385,6.334,6.332
HHS_HCC034,11.147,10.995,10.948,10.906,10.905
HHS_HCC035_1,10.003,9.845,9.793,9.778,9.778
HHS_HCC035_2,9.665,9.506,9.431,9.379,9.378
HHS_HCC036,2.894,2.843,2.779,2.709,2.71
HHS_HCC037_1,1.659,1.5,1.437,1.434,1.435
HHS_HCC037_2,0,0,0,0,0
HHS_HCC041,13.63,13.519,13.424,13.326,13.321
HHS_HCC042,17.595,17.294,17.189,17.156,17.155
HHS_HCC045,4.137,3.943,3.818,3.707,3.703
HHS_HCC046,11.253,11.043,10.971,10.944,10.944
HHS_HCC047,4.564,4.321,4.183,4.074,4.072
HHS_HCC048,10.154,9.737,9.568,9.461,9.458
HHS_HCC054,0,0,0,0,0
HHS_HCC055,0,0,0,0,0
HHS_HCC056,5.379,5.113,4.982,4.898,4.895
HHS_HCC057,0.765,0.649,0.532,0.408,0.404
HHS_HCC061,0,0,0,0,0
HHS_HCC062,0,0,0,0,0
HHS_HCC063,1.07,0.917,0.79,0.667,0.664
HHS_HCC066,72.571,72.059,71.903,71.851,71.851
HHS_HCC067,0,0,0,0,0
HHS_HCC068,0,0,0,0,0
HHS_HCC069,0,0,0,0,0
HHS_HCC070,0,0,0,0,0
HHS_HCC071,0,0,0,0,0
HHS_HCC073,0,0,0,0,0
HHS_HCC074,0,0,0,0,0
HHS_HCC075,3.813,3.685,3.589,3.504,3.502
HHS_HCC081,0,0,0,0,0
HHS_HCC082,0,0,0,0,0
HHS_HCC083,0,0,0,0,0
HHS_HCC084,0,0,0,0,0
HHS_HCC087_1,4.245,3.948,3.771,3.63,3.626
HHS_HCC087_2,3.409,3.158,2.98,2.816,2.812
HHS_HCC088,2.512,2.306,2.145,1.993,1.988
HHS_HCC090,0.381,0.293,0.194,0.102,0.099
